oil,gold,copper
RAC warns of diesel profiteering in UK despite wholesale price drop,Wage inflation ain’t dead yet Premium content,Rio Tinto agrees to buy remaining Turquoise Hill stake for $3.3bn 
COP28 head at odds with climate leaders over future for fossil fuels,Why gold is the bright stuff for would-be sanctions busters,Rio Tinto raises offer to take direct control of Mongolia copper mine Oyu Tolgoi
Iran seizes second oil tanker in a week as tensions with US increase   ,Gold buyers binge on biggest volumes for 55 years,Rio Tinto rebuffed in plan to take control of Mongolian copper project
"Shell, BP and Total out-trade Vitol, Trafigura, Mercuria and Gunvor",Should retail investors buy gold?,Glencore cuts ties with Chinese trader over missing $500mn of copper
Pakistan eyes economic relief from Russian oil imports due in May,Gold Fields/mining M&A: right deal at wrong price points to gold rebound Premium content,Miner Antofagasta warns of copper project challenges under Chile tax rise plan
Forget bumper BP results: another North Sea storm is brewing,Gold Fields chief steps down after Yamana takeover failure,BHP/Oz Minerals: bolt-on buy would have a copper-bottomed rationale  Premium content
COP28 head sets agenda for $100bn fund and push for ‘low-carbon’ tech,World’s largest gold ETF to use non-UK vaults for the first time,Rio Tinto signals end to era of record mining returns
America’s cleantech lender-in-chief has a ‘ridiculously good rate of return’ Premium content,Gold still adds a little lustre to a very well-diversified portfolio,Mining outlook darkens as twin threats loom
BP beats profit forecasts but slows share buybacks,Gold funds face challenges over responsible sourcing claims,Copper price bounces higher as miners cut production forecasts
Slowing demand for fuel adds to fears of looming US recession,Gold groups grapple with uncertain outlook for prices and costs,Copper rout worsens as recession fears hammer commodities markets
Northern Ireland faces legal action over new gas storage project,Gold Fields refuses to increase bid for rival miner Yamana,Copper: long-term promise cannot overcome bearish tone Premium content
Total’s chief tells investors European listing to blame for trading discount,Pan American and Agnico swoop with rival $4.8bn offer for Yamana Gold,‘Dr Copper’ has a worrying message about the energy transition
US seizure of oil vessel triggered Iran tanker capture,Hallmarking brings semblance of order to India’s chaotic gold trading,"Copper trades below $8,000 a tonne as recession fears take hold"
Exxon/Chevron: time to talk about that cash pile Premium content,Patcharavipa augments vintage watch and jewellery pieces with Thai gold,US copper group Ivanhoe Electric raises $170mn in IPO
Exxon and Chevron profits slide from record highs,Gold dips to 2-year low on US rate rise fears ,Copper price at 16-month low as slowdown fears hit industrial metals 
Energy stocks: vertical integration smooths out the ups and downs,Gold loses its shine for jewellery makers,First Quantum to make biggest foreign investment in Zambia in a decade
BP defends climate strategy at AGM clash,Gold Fields defends $5.2bn Yamana bid,Covid sick days and Chile social unrest hit BHP’s copper and nickel output
Iran seizes US-bound oil tanker in Gulf of Oman,Gold: rising production costs add to price pressure Premium content,Metal stockpiles shrink as energy prices hit production
Opec accuses IEA of stoking ‘volatility’ in energy markets,"Gold falls below $1,800 as investor appetite wanes",Rio Tinto offers $2.7bn to buy Turquoise Hill stake in Oyu Tolgoi mine
The energy transition’s big problem Premium content,Top investor calls for Gold Fields to scrap $5.3bn Yamana deal,Is there a new supercycle in metals and minerals?
TotalEnergies to sell Canadian oil sands operations to Suncor for $4bn,What the battle between gold bugs and crypto bros tells us about commodities,Antofagasta reports record earnings and dividend as copper soars
Pioneer boss Scott Sheffield to retire from US shale group at end of 2023,Gold Fields/Yamana: gyrating gold price holds no fears for acquirer Premium content,BHP declares record $7.6bn half-year dividend
Big Oil should play its part in the energy transition,Gold Fields to buy Yamana to create sector’s fourth-biggest miner,Miners place next bets on Russia with $15bn copper plans
Western price caps cut into Russian oil revenue,Barrick builds up cyanide and explosive stockpiles as prices rise,Rio Tinto to push ahead with Mongolian copper project
BP to feel the heat over curtailed climate vow,"Yorkshire gold dealer helped launder £266mn in cash, trial told",West needs to step up supply of copper for the energy transition
Oil exploration: modest revival leaves majors ahead by a whisker  Premium content,First combined gold-bitcoin ETP launches in Europe,Rio Tinto/Mongolia: tough decision on debt should resolve festering problems Premium content
US renewables industry joins Big Oil to fight delays to project permits,Gold/Polymetal: rising real rates would halt metal’s advance Premium content,Rio Tinto offers to write off $2.3bn Oyu Tolgoi loan
Naftogaz held talks with big US oil groups about Ukraine energy projects,London-listed Petropavlovsk warns investors may be wiped out,London Metal Exchange moves to stem draining copper reserves
Squaring fossil fuel holdings with climate pledges Premium content,Gold ETP inflows hit record high of $11.3bn in March,Energy crunch drives up global metals prices
The new energy crisis in the pipeline Premium content,Crypto vs gold: the search for an investment bolt hole,BHP aims to ease tribal tensions over US copper project with Rio
EU gas usage falls 18% after price shock caused by Russian supply cuts,Gold producer Petropavlovsk blocked from loan payment as UK sanctions bite,South32 is frontrunner to buy stake in Chilean copper project
Pension schemes to target BP’s Lund over backtrack on climate pledges,G7 to crack down on Russia’s ability to sell its gold,BHP to look at ‘tougher jurisdictions’ in hunt for metals
Italy hopes for EU concession on biofuels,Dispatch from Kyiv,Rio challenges findings of independent report into Oyu Tolgoi cost blowout
Record EU gas storage raises hopes of cutting Russian dependence,Money Clinic podcast: How can investors buy gold?,Miners’ share price gains evaporate  as iron ore price slumps
UK’s biggest asset manager LGIM challenges Exxon’s climate plans,The Fed wants it all Premium content,Afghanistan minerals: a monkey trap for aspiring miners
Turkey to make inaugural deliveries from big Black Sea gas discovery,Will US and UK central banks raise interest rates despite the threat to growth?,Copper miner Antofagasta posts bumper profits
Rising costs and competition threaten US boom in LNG projects,An energy shock and high inflation: are the 1970s reborn?,China pledges to release metal reserves to tackle price and shortage fears
G7 ministers agree to accelerate phase-out of fossil fuels ,Investors buy gold in response to Ukraine war,Trafigura: commodity traders must prepare for greater transparency  Premium content
Saudi Arabia boosts sovereign wealth fund with transfer of $80bn Aramco stake,Flight to ‘safe haven’ funds runs its own risks,Copper boom: how clean energy is driving a commodities supercycle 
John Kerry defends oil-rich UAE hosting UN climate talks,ETF investors pile into Russian equities and defence stocks,China and green energy drive copper prices to record high
Exxon chief’s pay jumps 52% after oil boom,Gold outperforms stocks and bonds as traders seek haven assets,Markets weigh prospect of new commodities supercycle
Clean energy is moving faster than you think ,Turkey to target ‘under the mattress’ gold in effort to bolster the lira,Copper hits record high with demand expected to rise sharply
BP commits to Gulf of Mexico as $9bn platform comes online,Gold struggles to attract investors as interest rates rise ,"Copper must rally 50% for supply to meet demand, Glencore chief says"
"Biden hasn’t changed on fossil fuels, says ConocoPhillips boss  Premium content",The old lessons from gold’s new existential crisis,Big dividend payouts show the value in unloved miners 
Russia ordered by court to pay Ukraine $5bn for Crimea energy assets,Kyrgyzstan says it seized mine over alleged environmental and safety breaches,BHP says tax rises pose threat to Chile’s mining industry
Royal Bank of Canada becomes top financier for fossil fuel industry,Asset classes of 2021: Bitcoin’s surge leaves gold in the dust,A commodity boom with a difference
Hydrogen and heat pump info wars risk reinforcing status quo,"Gold miners must justify environmental impacts, veteran investor says","Copper hits 10-year high above $10,000 a tonne"
US energy secretary signals plan to rebuild oil reserve,Hochschild shares drop by 27% after Peru seeks to shut mines,Chilean miners fear struggle to meet copper demand
Americans are not rushing to buy EVs  Premium content,The Fed is still conflicted,Rio Tinto copper chief quizzed on payments to Mongolian citizens 
BP buys stake in UK carbon capture project,Investors flee gold for cryptocurrencies as inflation worries perk up,‘Don’t murder this place’: the sacred Native American land at risk
Keeping watch on the Russian oil price cap,Will Evergrande and the coal crisis weigh on Chinese growth? ,Rio Tinto faces backlash over former chief’s exit package 
Nuns urge Citigroup to rethink financing of fossil fuel projects,Diversifying your portfolio in a changing world,Kaz Minerals bidders raise offer to £4.1bn 
Fossil fuel groups hit extra hard by divestment pledges that go viral,Newmont chief says climate change will drive gold miner consolidation,Antofagasta declares bumper dividend as copper recovery boosts profits
"In Scotland’s oil and gas capital, uncertainty clouds green transition",Key investments that pass my diversifier test  ,Zambia’s state miner on lookout for deals
Italy races to review deal to sell Russia-owned refinery in Sicily,Franklin kept initial filing for gold ETF secret,Suspects remanded in Turkish case over alleged copper heist
Opec’s gamble: can the global economy cope with higher oil prices?,A long wait for Scottish gold ‘but it will be worth it’,Rio Tinto set to start negotiations over Mongolian mine
Opec puts the power of the Russian price cap to the test Premium content,Will gold have its day as a crisis hedge?,Polymetal plans copper exploration to offset gold exposure
Investors to press TotalEnergies over climate goals ,Gold miners lose their lustre as price of precious metal drops,Freeport signals enduring cash bonanza from copper price boom
TotalEnergies strikes deal with Iraq to revive $27bn energy projects,‘Goldfinger’ 2021 plot twist could be villainous for banks,Chinese brokerage makes $1bn copper bet
Inside the fossil fuel stand-off that’s ensnared global banks Premium content,A 50-year quest for monetary stability,Commodities price surge raises fears of ‘overshoot’
Norway’s long-term energy dilemma,European investors pour nearly $1bn into gold ETFs in July,"Copper breaches $9,000 a tonne in bet on economic bounce and supply limits"
US Treasuries rally and dollar falls on signs of cooling labour market,Gold loses its lustre as investors chase reflation trades,Copper hits 10-year high fuelled by recovery bet and demand boost
Exxon says low-carbon business could one day eclipse oil and gas,Egyptian billionaire Sawiris sets up $1.4bn gold mining vehicle,Mongolia seeks Rio backing to terminate mine agreement
Opec takes the reins Premium content,Asia gold ETFs buck trend and attract strong inflows,Glencore/Zambia: mine control  Premium content
That Opec+ cut you ignored? It’s a bigger deal than the bank runs,UK venture aims to raise the bar on responsible sourcing,Glencore sells Zambia copper unit to state in $1.5bn deal
Texas leaders threaten wind and solar boom with legislative push,Gold suffers worst month since 2016,Mongolia threatens to halt Rio Tinto copper project
Crude prices jump after Opec+ announces oil production cut,Nordgold pulls planned London listing,Rio Tinto’s pledge on cultural heritage policies faces big test
Oil price: new unimproved Opec+ helps US shale drillers Premium content,Net flows into inflation-linked ETPs surge to a record $4.4bn in May,Copper bulls bet green agenda will push metal on towards record high
Why Opec+ is cutting oil output now,Gold under the new regime,Rio Tinto/Jakob Stausholm: Simon says Premium content
Crude indicators for dollar’s dominance,Nordgold/Alexei Mordashov: bringing in Russian bling Premium content,Copper hits 7-year high as Goldman calls bull market
Oil price surges after Opec+ nations make surprise output cut,Russia’s Nordgold prepares for London IPO,Rio Tinto/Oyu Tolgoi: wild child Premium content
Iraqi authorities reach preliminary deal to resume oil exports to Turkey,How to defend against inflation?,Odey calls on Rio Tinto to change Oyu Tolgoi funding
North Sea oil project to open new front with environmentalists ,Where will bitcoin prices head next?,Mongolia raises heat on Rio Tinto over vast Oyu Tolgoi copper mine  
"Russian sanctions heighten threat of oil spill disaster, shipping insurer warns",Kyrgyzstan faces international legal battle over gold mine,Kaz investor seeks help to oppose £3bn buyout bid
Energy security is trumping climate concerns ,Could real money stack up as an inflation hedge?,Industrial metals dented as hopes of Democratic sweep in US election fade
Vitol profits soar to record $15bn on back of energy crisis  ,Barrick chief blasts investor ‘short-termism’ after share price fall,Top shareholders in Kaz Minerals launch £3bn buyout
Chickens are ‘coming home to roost’ in the shale patch Premium content,Central bank and consumer buying in India and China arrest gold’s slide,"Copper hits $7,000 a tonne as ‘green-tinted’ rally hots up"
US natural gas prices: déjà vu all over again Premium content,Consumer resistance melts away as recycled gold gains ground,Will the ECB’s Lagarde try to talk down the euro?
The Lex Newsletter: Scotland’s oil and gas paradox Premium content,How will the Fed contend with rising US borrowing costs?,Copper start-up appoints mining veteran Goodyear to board 
"Inside North Korea’s oil smuggling: triads, ghost ships and underground banks",Rausing completes hefty Ocado purchase,Antofagasta/copper: red better  Premium content
Is the oil price bounce on? Premium content,Russian miner GV Gold joins Moscow IPO rush,Rise in China copper production suggests ‘robust’ recovery
BP teams up with Abu Dhabi oil group in bid for Israel’s NewMed ,Polymetal plans copper exploration to offset gold exposure,Rio Tinto avoids footing $1bn bill for new power plant in Mongolia
Shale oil drillers left exposed after pulling back price hedges,Gold hits eight-month low as higher bond yields dent its appeal,Does Beijing’s Covid outbreak threaten China’s recovery? 
‘Full investigation’ promised into UK wildlife haven oil spill,Russia’s top gold company shifts mines to hydropower ,Strong Chinese demand puts copper in a bull market
Saudi Aramco strengthens China ties with two refinery deals,Should investors prepare for higher inflation in the US?,A lost struggle to mine Afghan gold
Italy’s shift away from Russian gas clashes with its climate targets,Bitcoin: a symptom of market mania — or the new gold?,Antofagasta slashes final dividend as Chile fears new Covid-19 outbreak  
Libyan state oil chief stresses support across divided country,Petropavlovsk hires former head of Highland Gold as chief   , Glencore’s Zambia CEO detained by authorities
Iraq wins landmark case against Turkey over Kurdish oil exports,Surge in vaccine optimism slams brakes on gold,Copper find sparks hopes of mining revival in ‘Poldark’ country
UK government expected to offer energy companies windfall tax relief ,Endeavour Gold targets FTSE 100 after $1.9bn Teranga deal ,Glencore copper mine closure prompts Zambia dispute
Crude prices fall as US holds off on replenishing reserves,Will Turkey’s new central bank governor announce a big rate rise?,Glencore defers $2.6bn dividend decision
Oil and gas: the transatlantic divide opens up  Premium content,London gold body warns trade centres over ethical sourcing,India’s Vedanta presses on with plan to double oil production
Fears of an energy price surge percolate through sector  Premium content,Barrick chief expects gold to hit new peaks,Prospects of global recession and demand shock hit mining stocks
"Germany risks running out of gas next winter, regulator warns",Industrial metals dented as hopes of Democratic sweep in US election fade,Copper hits four-year low as investors dash for cash
Russia alters oil taxes to capture bigger share of trades above price cap,Ghanaian gold/Agyapa: Accra forfeits accruals Premium content,Rio Tinto slows expansion of Oyu Tolgoi copper mine in Mongolia 
US regulator vows ‘aggressive’ crackdown on oil and gas methane leaks,Russia’s Polyus claims Siberian gold mine as world’s biggest,Freeport says “now not the time” for deal with Barrick Gold
UK urged to approve hydrogen blending in domestic gas network ,Petropavlovsk chief executive faces Russian criminal probe ,Will European PMI data reveal coronavirus impact?
Global commodity traders open to increasing Russian oil volumes,Buy a gold bar – help save a rhino,Chinese copper traders declare force majeure over coronavirus
Venezuela oil minister resigns as Maduro cracks down on corruption,Chile’s pension funds join global gold ETP rush ,Mitsubishi Materials buys 30% stake in Chilean copper mine
Sempra’s $13bn LNG project gets the greenlight Premium content,Gold miner Petropavlovsk cuts production forecasts,Zambia ramps up war of words with mining company Vedanta
Saudi leads push to elevate carbon removal in UN climate science report,Central banks flip to gold sales after record rally,Glencore says Africa copper turnround plans on track
"Colombia’s energy transition should be gradual, warns Ecopetrol chief",Northern Star and Saracen to merge in $4.1bn deal,Coronavirus: copper bottomed Premium content
"Commodity markets likely to escape banking crisis fallout, traders say",Gem up – why luxury clients are reaching for fine jewellery,Copper maintains upward momentum on trade deal hopes
Mercuria launches nature business as demand grows for voluntary carbon offsets,"Moderna CEO on vaccine timetable, Japan economy, gold rush",Bougainville island faces copper ‘curse’ amid independence vote
"Two companies, one trade: the switch that keeps Putin’s oil flowing",The new gold rush: western investors offset soft eastern demand  ,Glencore’s African copper division to take centre stage
Nato and EU chiefs mount show of strength at North Sea gas platform ,Resurgent dollar pushes down prices of gold and silver,Mongolia says Rio-led copper project will go ahead
BP accused of ‘serious violations’ after fatal blast at US refinery,Banks reap gold trading bonanza from Covid-19 disruption,Mongolia parliament seeks ‘improved contracts’ for Rio Tinto mine
Oil markets hit a year-low following banking rout  Premium content,Canada’s Wheaton Precious Metals plans London listing,Barrick Gold chief eyes growth in ‘strategic’ copper
Oil caught up in banking fears as US crude drops below $70 a barrel,"Where there’s a silver tip, there’s a silver tap ",Glencore backs $5.8bn cash call at DRC subsidiary
Philippines and Vietnam to import LNG but long-term doubts loom,Investors salve pandemic wounds with gold in flight to safety,"Freeport turns to artificial intelligence to raise copper output by 90,000 tonnes"
US set to become world’s largest LNG exporter Premium content,Gold rush points to structural shift,"Robert Friedland, China and the rush for copper in the DRC"
White House approves Alaska oil project in face of climate criticism,Polymetal: blinging in the cash Premium content,Three ways to trade a changing China
Live teaching case: BP’s decision to adjust its climate change targets,Gold miners’ shares tumble following Mali military coup,Anglo American closes in on Peruvian copper bounty
Saudi Aramco posts record $161bn profit on back of strong crude prices,Thought for the weekend,Freeport production hit by anti-mining protests in Peru
UK pension funds threaten to vote against BP and Shell directors over climate targets,Gold rebounds from biggest daily tumble in 7 years ,Miner BHP plans $780m provision over renewables switch
Oil industry struts Texas stage with its old swagger at energy jamboree,Gold’s evolution into a ‘must-have’ asset is storing up trouble,Anglo American says copper mine will produce for 100 years
Vladimir Putin is much more broke than we think Premium content,Barrick basks in glow of record gold prices ,China’s Zijin Mining to spend C$194m to increase stake in Ivanhoe Mining
BP chief Bernard Looney’s pay doubled to £10mn last year,How the 2020 gold rush smashed through records,Copper price reflects grim assessment of global economy
EU plans joint navy patrols to combat Russian spy ships,What’s with gold backwardation?,Why is nobody  buying the copper needed for a greener world?
US taps big trading houses to help move price-capped Russian oil,Hong Kong’s wealthy move gold out of city on security law fears,First Quantum Minerals denies takeover talks
UK oil and gas group Harbour Energy says windfall tax ‘has all but wiped out’ profit,Gold keeps its shine as investors shun dollar   ,First Quantum shares jump on takeover talk
Inside the biggest debates at CERAWeek  Premium content,"Beirut explosion, ETF gold spree, HMRC vs General Electric",KGHM chief keen to move on from past setbacks
Ex-Shell chief van Beurden’s pay jumped to £9.7mn last year,ETF joins world’s biggest gold owners as investors flock in,Copper hits lowest level since 2017
Russia’s energy conflict with Europe is turning attritional,"Gold price hits $2,000 for first time on Covid-19 and inflation fears",Antofagasta confident of approval for $1bn Minnesota copper mine
Oil executives warn of higher prices now that Opec is back ‘in charge’,Investors in gold and investors in bonds cannot both be right,Glencore puts faith in ‘miners’ miner’ Freyberg to turn the tide
The new energy world order Premium content,FT 300: Top Registered Investment Advisers,Glencore to announce turnround plan for African copper unit
Oil groups line up for billions in subsidies under US climate law,Gold soars despite slump in demand in key jewellery markets,EBRD open to funding discussions on Rio’s Mongolia copper project
Adnoc and Gunvor deal talks reach impasse,Gold stalls near record high as dollar decline pauses,Freeport posts quarterly loss on lower Grasberg output
Gunvor chief says loss of Russian gas will cement US export role,Gold’s rise is a sign of uncertain times,Rio Tinto warns of delay and cost blowout at Mongolia copper mine
Chronicle of an oil shock foretold,"Investors fear US virus toll, MLB virus scare, European banks",Investors rattled by takeover of Zambian mining operation
BP insists it is not slowing green transition to cash in on high oil prices,"Linking real yields, the dollar and gold Premium content",Congolese army deployed to Glencore copper mine following deaths
Colombia protesters release kidnapped police officers and oil workers,Gold hits record high as Covid-19 fears escalate,Death toll at DRC mine rises to 43
Can Shell close the valuation gap with US rivals?,"Gold price tops $1,900 on longest winning streak since 2011",Dozens die in Congo mine accident
Koch Industries appoints co-CEO from outside namesake family,Fresnillo surfs silver wave to top FTSE 100 risers,Glencore shares fall after DRC mine collapse
The world is at risk of a ‘disorderly’ energy transition Premium content,Yamana Gold set for London listing,Copper price is being held hostage by macro jitters
Occidental: oil explorer stakes big claim on carbon capture Premium content,Investors need to decide whether the risk of inflation is real ,Albert Yuma reconfirmed as chairman of Congo state copper miner
Lithuanian energy group to consider donating share of profits to Ukraine,"Gold shoots above $1,800 for first time since 2011",What will it take to lift US inflation?
What’s coming down the ‘fairway’ for the shale patch Premium content,Gold: ring the changes Premium content,Vedanta fights back against Zambia in copper row
Wanted: one supertanker to stop an eco-disaster,Gold miners glitter as spot price nears 9-year high,Zambia increases pressure on Vedanta unit Konkola Copper Mines
Shell explored quitting Europe and moving to the US,Will EU talks improve the pound’s prospects?,Iron ore at five-year high above $100 a tonne after Vale warning
Oxy and Anadarko: how the ‘dumbest deal in history’ paid off for Hollub ,Don’t bet on the silver boom,Copper heads for fifth weekly loss on trade war concerns
UK oil and gas sector warns windfall taxes are deterring investment,Gold nears eight-year high as investors seek havens,Glencore seeks to address Katanga debt woes
Woodside says Europe and China hold keys for energy market this year,Reflation trades need more than just air  Premium content,"Mining industry can ‘transcend’ China, says Glencore chief executive"
Dutch gasfield that caused earthquakes earned oil majors billions ,Metals authority probes Perth Mint over gold sourcing claims,Shareholder revolt puts spotlight on Rio’s Oyu Tolgoi mine
Global markets ride Ukraine war roller-coaster,The global gold market is breaking up,Glencore cuts guidance for key DRC copper and cobalt mine
Engie urges Europe to boost local energy supply chains,Pandora to use only recycled silver and gold,Aurelia Metals in discussions to buy Glencore copper mine in Australia
US shale oil groups’ record profits threatened by cost inflation,March ructions deter bullion banks from gold futures,Copper takes on brighter sheen ahead of industry summit
US gas exporter Cheniere bets on lasting demand with expansion plan,A lost struggle to mine Afghan gold,Forecasts of a copper supply shortfall are falling
Energy group Wintershall seeks to sue Kremlin over seized Russian assets,"When gold and geopolitics clash, it’s rarely pretty ",Glencore weighs sale of Cobar copper mine to Aeris
A year of disarray for global energy markets Premium content,Venezuela sues Bank of England over refusal to release gold,Chinese miner eyes Congo potential in bid for Australian copper producer
Eni becomes latest energy major to report record profits,ETF investors flock to gold and corporate bond funds,Kaz Minerals boosted by rising copper output
"Europe’s energy war with Russia is not over, warns IEA chief",Barrick Gold on the hunt for copper deals,Morgan Stanley joins copper bulls with higher forecast for metal
Wood Group rejects three offers from Apollo,‘50 cent’ gold fund tops European performance charts,China’s demand for electric vehicles charges copper
"Energy industry fails to tackle methane emissions despite soaring profits, IEA says",Meet the teens who want to work in finance  ,Glencore to cut workers at key DR Congo copper and cobalt mine
Could Shell follow BP? Premium content,Newmont earnings surge more than ninefold ,Friedland says Congo copper mine will be world’s second-largest
Netherlands warns of Russian attempts to sabotage its energy infrastructure,Hedge funds bet on gold as refuge from ‘unfettered’ currency printing,"Copper to rally by 10% over next 3-6 months, says Citi"
The stock market’s $150bn trade in energy-to-waste,Papua New Guinea threatens to seize Barrick’s Porgera gold mine,Vedanta looks to restart Indian copper smelter after legal win
Tanker companies: Russian products ban brings fair winds  Premium content,"Barrick Gold buys 800,000 antibody test kits",Glencore begins the changing of the old guard
US gas export plant hit by blast reopens with uncertain future,Gold bugs vindicated by coronavirus rally,Car batteries and trade war truce energise copper price
Australia rattles industry and trading partners with energy interventions,Anxious investors surge into gold-backed funds,Teck sells 30% stake in giant QB2 copper project to Sumitomo
